predictor	count	pcc_t	se_t	mse_t	pcc_af	se_af	mse_af	pcc_tas	se_tas	mse_tas	p_af	p_tas
FoldX_exposed	689	0.77	0.02	0.84	0.81	0.02	0.76	0.54	0.03	1.17	0.0025	3.9e-21
FoldX_buried	689	0.77	0.02	1.43	0.82	0.02	1.26	0.5	0.03	2.28	6.0e-05	1.7e-25
Eris_exposed	442	0.61	0.04	2.96	0.33	0.05	3.44	0.31	0.05	3.88	3.9e-10	9.2e-11
Eris_buried	418	0.69	0.04	3.21	0.12	0.05	5.4	0.2	0.05	5.03	3.3e-27	1.6e-22
Thermonet_exposed	467	0.67	0.03	0.43	0.66	0.03	0.42	0.72	0.03	0.4	0.3612	0.017
Thermonet_buried	495	0.77	0.03	0.65	0.76	0.03	0.64	0.73	0.03	0.71	0.2927	0.019
DDGun_exposed	702	0.97	0.01	0.18	0.99	0.01	0.13	0.95	0.01	0.24	1.1e-50	2.0e-13
DDGun_buried	843	1.0	0.0	0.17	1.0	0.0	0.11	0.99	0.0	0.2	1	1
ACDC-NN_exposed	698	0.96	0.01	0.12	0.96	0.01	0.16	0.97	0.01	0.12	0.5	1.4e-05
ACDC-NN_buried	839	0.98	0.01	0.2	0.98	0.01	0.3	0.97	0.01	0.21	0.5	1.1e-13
Rosetta_exposed	253	0.66	0.05	2.21	0.68	0.05	2.35	0.44	0.06	2.88	0.2934	6.2e-06
Rosetta_buried	214	0.59	0.06	3.55	0.69	0.05	3.04	0.39	0.06	4.56	0.0077	0.0011
